label,loss_amount,round_number,purchased_coverage,random_number,state,timer_faq_choiceaffectsprice,timer_faq_howitworks,timer_faq_noinsurance,timer_faq_coverage,timer_char7,timer_char6,timer_char5,timer_char4,timer_char3,timer_char2,timer_char1,insurance,WTP,belief,prob,var6,var5,var4,var3,var2,var1,number_entered,result_risk,session.code,treatment,age,gender,smoker,health,exercisedays,exercisehours,insurancehealth,lifeinsurance,riskdriving,riskfinance,risksport,riskjob,riskhealth,risk,final_payoff,HL_switchpoint,HLLF_switchpoint
5ec310cde88df1155e32bba6,80.0,1,0.0,46.0,healthy,368.0,1572.0,,116.0,290.0,790.0,195.0,454.0,387.0,2399.0,1848.0,46.0,10.0,16.0,0.1418512122873805,10.0,10.0,1.0,0.0,0.0,0.0,50.0,0.0,apkseh53,baseline,53.0,1.0,0.0,7.0,0.0,0.0,1.0,-1.0,1.0,1.0,2.0,0.0,3.0,2.0,573.0,5.0,5.0
558bb476fdf99b21155f2dbf,20.0,1,1.0,10.0,ill,10.0,0.0,,19.0,,,,,,,,10.0,18.0,39.5,0.2497400330432526,6.0,6.0,1.0,0.0,10.0,0.0,20.0,30.0,apkseh53,neginfo,71.0,1.0,0.0,7.0,0.0,1.0,1.0,0.0,2.0,2.0,4.0,4.0,4.0,3.0,446.0,7.0,
5be9b18df5c1060001085048,20.0,1,0.0,12.0,ill,,,,,,,,0.0,0.0,368.0,219.0,12.0,5.0,50.5,0.947846340491787,0.0,4.0,0.0,50.0,50.0,1.0,10.0,65.0,apkseh53,fullinfo,37.0,0.0,-1.0,5.0,5.0,1.0,1.0,1.0,0.0,0.0,7.0,0.0,0.0,2.0,646.0,,
600eccf35bb4996e7d3c694f,20.0,1,1.0,3.0,healthy,2.0,1.0,,1.0,,,126.0,63.0,120.0,147.0,109.0,3.0,13.0,68.5,0.1846897777365264,9.5659476,9.5659476,1.0,0.0,25.0,0.0,10.0,40.0,apkseh53,varinfo,28.0,1.0,0.0,7.0,5.0,1.0,-1.0,-1.0,3.0,4.0,5.0,3.0,3.0,5.0,435.0,,
56cf6e8d31a5bc0006e1cdf5,60.0,1,1.0,27.0,ill,209.0,869.0,,174.0,,1340.0,639.0,965.0,463.0,1580.0,2166.0,27.0,40.0,100.0,0.9758729199833392,0.0,0.0,0.0,60.0,60.0,1.0,5.0,57.5,apkseh53,posinfo,67.0,1.0,0.0,7.0,4.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,4.0,2.0,518.5,0.0,
573dbfc9cc30e7000dc57410,80.0,1,1.0,43.0,ill,341.0,1606.0,,121.0,429.0,217.0,552.0,292.0,297.0,1033.0,2079.0,43.0,45.0,64.5,0.947846340491787,0.0,4.0,0.0,50.0,50.0,1.0,25.0,25.0,apkseh53,fullinfo,57.0,1.0,0.0,9.0,3.0,1.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,454.0,8.0,6.0
5f8ece6117db5206eafc8b73,60.0,1,1.0,58.0,ill,112.0,254.0,,139.0,,720.0,311.0,638.0,538.0,1504.0,827.0,58.0,60.0,90.0,0.2497400330432526,6.0,6.0,1.0,0.0,10.0,0.0,0.0,50.0,apkseh53,neginfo,64.0,0.0,0.0,8.0,7.0,1.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,575.0,5.0,4.0
5ed68c770e41400dd0056c55,100.0,1,0.0,61.0,healthy,230.0,327.0,,71.0,,270.0,794.0,978.0,217.0,507.0,817.0,61.0,20.0,30.0,0.1846897777365264,9.5659476,9.5659476,1.0,0.0,25.0,0.0,25.0,87.5,apkseh53,varinfo,34.0,1.0,0.0,8.0,5.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,506.5,7.0,9.0
6155f2c84aedcacc95fb188d,60.0,1,0.0,42.0,healthy,0.0,1190.0,,138.0,1410.0,932.0,1037.0,1101.0,1915.0,3142.0,2841.0,42.0,15.0,16.0,0.1418512122873805,10.0,10.0,1.0,0.0,0.0,0.0,10.0,40.0,apkseh53,baseline,43.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,2.0,4.0,4.0,2.0,3.0,4.0,624.0,6.0,5.0
5f8d8af5eadf4d08f6c460f3,40.0,1,1.0,7.0,ill,631.0,1718.0,,302.0,,0.0,0.0,0.0,6.0,0.0,,7.0,25.0,50.0,0.9758729199833392,0.0,0.0,0.0,60.0,60.0,1.0,0.5,49.5,apkseh53,posinfo,37.0,0.0,1.0,6.0,3.0,2.0,0.0,0.0,3.0,5.0,6.0,1.0,2.0,6.0,528.5,5.0,
5ee4d9a391a7f31d5c960868,40.0,1,1.0,21.0,ill,576.0,2539.0,,100.0,729.0,554.0,139.0,217.0,208.0,1049.0,954.0,21.0,25.0,94.75,0.947846340491787,0.0,4.0,0.0,50.0,50.0,1.0,10.0,40.0,apkseh53,fullinfo,25.0,1.0,0.0,7.0,2.0,1.5,1.0,0.0,0.0,2.0,5.0,2.0,0.0,3.0,684.0,8.0,9.0
5fcd709227fabfc6ca7a969e,20.0,1,1.0,3.0,healthy,218.0,696.0,,49.0,559.0,320.0,225.0,457.0,415.0,767.0,1115.0,3.0,10.0,33.0,0.1418512122873805,10.0,10.0,1.0,0.0,0.0,0.0,10.0,65.0,apkseh53,baseline,30.0,1.0,0.0,6.0,2.0,1.0,1.0,0.0,1.0,3.0,0.0,4.0,2.0,2.0,640.0,7.0,7.0
5ea057b821f4e400081b71a7,80.0,1,0.0,34.0,healthy,287.0,1977.0,,71.0,,565.0,629.0,723.0,1172.0,2855.0,1546.0,34.0,20.0,38.75,0.2497400330432526,6.0,6.0,1.0,0.0,10.0,0.0,25.0,25.0,apkseh53,neginfo,65.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,3.0,8.0,0.0,0.0,2.0,2.0,734.0,6.0,5.0
605a7d4573560179e04af547,100.0,1,0.0,91.0,ill,193.0,1054.0,,165.0,,173.0,0.0,0.0,0.0,84.0,655.0,91.0,38.0,57.5,0.1846897777365264,9.5659476,9.5659476,1.0,0.0,25.0,0.0,33.0,17.0,apkseh53,varinfo,22.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,7.0,8.0,5.0,4.0,6.0,7.0,416.0,4.0,4.0
5c5a0ec41bf09700015ca517,20.0,1,1.0,6.0,healthy,497.0,3913.0,,161.0,,11422.0,192.0,654.0,476.0,7833.0,3139.0,6.0,10.0,33.25,0.1846897777365264,9.5659476,9.5659476,1.0,0.0,25.0,0.0,0.0,50.0,apkseh53,varinfo,25.0,0.0,0.0,8.0,4.0,1.0,1.0,0.0,0.0,2.0,5.0,2.0,3.0,3.0,630.0,4.0,3.0
55b765befdf99b0416ce5382,80.0,1,1.0,10.0,ill,148.0,644.0,,73.0,,1594.0,956.0,1392.0,559.0,1564.0,1913.0,10.0,30.0,61.0,0.9758729199833392,0.0,0.0,0.0,60.0,60.0,1.0,0.0,50.0,apkseh53,posinfo,28.0,0.0,0.0,7.0,2.0,2.0,0.0,1.0,0.0,4.0,5.0,2.0,3.0,5.0,585.0,7.0,8.0
572f526c3c27e7000e0b8aaa,40.0,1,1.0,6.0,ill,0.0,1294.0,,116.0,,153.0,342.0,473.0,806.0,866.0,1164.0,6.0,7.0,37.5,0.2497400330432526,6.0,6.0,1.0,0.0,10.0,0.0,10.0,40.0,apkseh53,neginfo,32.0,0.0,0.0,8.0,3.0,2.0,0.0,0.0,2.0,5.0,6.0,7.0,2.0,5.0,450.0,8.0,7.0
5f6c9ef0bd5bc006f3586c40,20.0,1,1.0,6.0,healthy,0.0,0.0,,0.0,682.0,591.0,53.0,310.0,383.0,873.0,1120.0,6.0,20.0,25.0,0.1418512122873805,10.0,10.0,1.0,0.0,0.0,0.0,25.0,25.0,apkseh53,baseline,25.0,1.0,0.0,6.0,1.0,2.0,-1.0,0.0,0.0,8.0,6.0,1.0,1.0,4.0,559.0,3.0,6.0
60c20abfdccab926283d8f7f,20.0,1,1.0,8.0,ill,486.0,533.0,,49.0,793.0,212.0,46.0,26.0,32.0,297.0,368.0,8.0,15.0,94.0,0.947846340491787,0.0,4.0,0.0,50.0,50.0,1.0,10.0,40.0,apkseh53,fullinfo,26.0,1.0,0.0,7.0,2.0,1.0,1.0,0.0,3.0,5.0,7.0,5.0,2.0,5.0,829.0,6.0,5.0
5a8185b8aa46dd00016b80d6,40.0,1,1.0,2.0,ill,723.0,358.0,,104.0,,114.0,510.0,627.0,350.0,840.0,1792.0,2.0,20.0,49.75,0.9758729199833392,0.0,0.0,0.0,60.0,60.0,1.0,0.0,50.0,apkseh53,posinfo,51.0,1.0,0.0,6.0,1.0,2.0,-1.0,0.0,1.0,1.0,1.0,1.0,5.0,3.0,494.0,6.0,6.0
615734b16b50355d4521f849,60.0,1,0.0,24.0,ill,1721.0,1371.0,,107.0,346.0,271.0,179.0,757.0,626.0,2079.0,1922.0,24.0,18.0,35.75,0.1418512122873805,10.0,10.0,1.0,0.0,0.0,0.0,50.0,0.0,apkseh53,baseline,22.0,0.0,0.0,7.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,2.0,0.0,2.0,431.0,6.0,0.0
62e462cbd8f4226e10b998bd,20.0,1,0.0,11.0,healthy,332.0,6194.0,,395.0,,1231.0,277.0,829.0,1589.0,3606.0,2426.0,11.0,5.0,20.75,0.1846897777365264,9.5659476,9.5659476,1.0,0.0,25.0,0.0,35.0,15.0,apkseh53,varinfo,28.0,0.0,0.0,6.0,1.0,3.0,1.0,0.0,7.0,8.0,7.0,4.0,3.0,7.0,537.0,,
5e3891a0ffe78b000a8a4124,20.0,2,0.0,17.0,healthy,0.0,0.0,,0.0,,434.0,551.0,375.0,247.0,372.0,208.0,17.0,6.0,28.25,0.2748806322619321,9.0,9.0,1.0,0.0,3.0,0.0,0.0,50.0,apkseh53,varinfo,54.0,0.0,0.0,6.0,3.0,1.0,1.0,0.0,4.0,4.0,2.0,5.0,2.0,3.0,744.0,5.0,
5cc53cf3291607001757c712,100.0,2,1.0,39.0,ill,101.0,826.0,,67.0,,90.0,265.0,538.0,293.0,994.0,1050.0,39.0,40.0,61.75,0.9723372946270248,0.0,1.006333,0.0,57.0,57.0,1.0,17.0,33.0,apkseh53,neginfo,59.0,0.0,0.0,9.0,3.0,1.0,1.0,0.0,7.0,7.0,7.0,5.0,6.0,7.0,458.0,6.0,4.0
5ca9f8926025570001c872f3,40.0,2,0.0,40.0,ill,139.0,0.0,,,,535.0,987.0,924.0,191.0,721.0,874.0,40.0,20.0,39.75,0.2314753600944282,10.0,10.0,1.0,0.0,0.0,0.0,0.0,50.0,apkseh53,posinfo,54.0,0.0,0.0,7.0,7.0,0.5,1.0,0.0,7.0,5.0,3.0,2.0,3.0,5.0,609.0,8.0,8.0
5f0874db34894f07bd04f436,100.0,2,1.0,9.0,ill,0.0,,,,72.0,117.0,135.0,120.0,96.0,155.0,179.0,9.0,75.0,68.5,0.7026605334833871,0.0,0.0,0.0,11.0,11.0,1.0,50.0,0.0,apkseh53,baseline,43.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,5.0,2.0,6.0,493.0,9.0,7.0
6278270bfb2439bf3abf192d,40.0,2,0.0,24.0,healthy,0.0,0.0,,5.0,0.0,,,,0.0,0.0,5.0,24.0,20.0,33.0,0.7026605334833871,0.0,0.0,0.0,11.0,11.0,1.0,20.0,30.0,apkseh53,baseline,67.0,0.0,0.0,7.0,1.0,2.0,1.0,0.0,1.0,2.0,6.0,2.0,0.0,3.0,450.0,7.0,6.0
62b4370c9a89e5a09c4447de,80.0,2,0.0,54.0,healthy,,,,,,303.0,411.0,365.0,182.0,381.0,712.0,54.0,30.0,50.25,0.2748806322619321,9.0,9.0,1.0,0.0,3.0,0.0,20.0,30.0,apkseh53,varinfo,40.0,1.0,0.0,6.0,7.0,1.0,1.0,0.0,0.0,3.0,5.0,4.0,3.0,4.0,561.0,0.0,9.0
5c921106b788a2000170709f,20.0,2,0.0,6.0,ill,,,,,,86.0,98.0,148.0,498.0,754.0,396.0,6.0,5.0,100.0,0.9723372946270248,0.0,1.006333,0.0,57.0,57.0,1.0,50.0,0.0,apkseh53,neginfo,41.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,2.0,10.0,7.0,3.0,8.0,7.0,615.0,4.0,6.0
6347200d8ded5172ec43e0bb,60.0,2,0.0,59.0,healthy,,,,,,1019.0,1107.0,623.0,279.0,303.0,258.0,59.0,30.0,60.0,0.2314753600944282,10.0,10.0,1.0,0.0,0.0,0.0,0.0,50.0,apkseh53,posinfo,33.0,1.0,0.0,8.0,4.0,1.0,0.0,1.0,2.0,6.0,7.0,8.0,0.0,6.0,568.0,6.0,4.0
606f2bc97413a79b160c66b1,80.0,2,0.0,59.0,healthy,45.0,98.0,,606.0,264.0,90.0,187.0,220.0,161.0,230.0,633.0,59.0,25.0,24.25,0.3186463772015256,10.0,10.0,1.0,0.0,11.0,0.0,10.0,40.0,apkseh53,fullinfo,38.0,1.0,0.0,8.0,2.0,0.5,0.0,1.0,2.0,4.0,4.0,2.0,1.0,3.0,776.0,8.0,8.0
5f75d01a857e4e27a575f7ca,60.0,2,1.0,20.0,ill,0.0,0.0,,47.0,,567.0,908.0,1121.0,166.0,212.0,346.0,20.0,38.0,28.75,0.2314753600944282,10.0,10.0,1.0,0.0,0.0,0.0,25.0,87.5,apkseh53,posinfo,41.0,1.0,0.0,7.0,2.0,0.8,1.0,0.0,1.0,2.0,3.0,1.0,3.0,2.0,465.5,7.0,9.0
5ec310cde88df1155e32bba6,60.0,2,0.0,37.0,ill,64.0,272.0,,51.0,131.0,102.0,157.0,83.0,325.0,436.0,243.0,37.0,35.0,60.0,0.7026605334833871,0.0,0.0,0.0,11.0,11.0,1.0,50.0,0.0,apkseh53,baseline,53.0,1.0,0.0,7.0,0.0,0.0,1.0,-1.0,1.0,1.0,2.0,0.0,3.0,2.0,573.0,5.0,5.0
558bb476fdf99b21155f2dbf,80.0,2,1.0,26.0,ill,0.0,0.0,,0.0,,90.0,117.0,338.0,1170.0,810.0,1314.0,26.0,75.0,55.0,0.9723372946270248,0.0,1.006333,0.0,57.0,57.0,1.0,20.0,30.0,apkseh53,neginfo,71.0,1.0,0.0,7.0,0.0,1.0,1.0,0.0,2.0,2.0,4.0,4.0,4.0,3.0,446.0,7.0,
5be9b18df5c1060001085048,40.0,2,0.0,18.0,ill,0.0,,,,,292.0,0.0,0.0,202.0,0.0,245.0,18.0,10.0,30.0,0.3186463772015256,10.0,10.0,1.0,0.0,11.0,0.0,10.0,65.0,apkseh53,fullinfo,37.0,0.0,-1.0,5.0,5.0,1.0,1.0,1.0,0.0,0.0,7.0,0.0,0.0,2.0,646.0,,
600eccf35bb4996e7d3c694f,40.0,2,0.0,25.0,healthy,9.0,7.0,,3.0,,,,,,,40.0,25.0,21.0,47.25,0.2748806322619321,9.0,9.0,1.0,0.0,3.0,0.0,10.0,40.0,apkseh53,varinfo,28.0,1.0,0.0,7.0,5.0,1.0,-1.0,-1.0,3.0,4.0,5.0,3.0,3.0,5.0,435.0,,
56cf6e8d31a5bc0006e1cdf5,100.0,2,0.0,47.0,healthy,77.0,113.0,,109.0,,154.0,219.0,240.0,185.0,209.0,493.0,47.0,5.0,0.5,0.2314753600944282,10.0,10.0,1.0,0.0,0.0,0.0,5.0,57.5,apkseh53,posinfo,67.0,1.0,0.0,7.0,4.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,4.0,2.0,518.5,0.0,
573dbfc9cc30e7000dc57410,20.0,2,1.0,7.0,healthy,176.0,130.0,,140.0,,25.0,49.0,119.0,294.0,599.0,395.0,7.0,17.0,66.0,0.3186463772015256,10.0,10.0,1.0,0.0,11.0,0.0,25.0,25.0,apkseh53,fullinfo,57.0,1.0,0.0,9.0,3.0,1.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,454.0,8.0,6.0
5f8ece6117db5206eafc8b73,40.0,2,1.0,7.0,ill,,,,,,46.0,62.0,124.0,217.0,229.0,304.0,7.0,40.0,98.0,0.9723372946270248,0.0,1.006333,0.0,57.0,57.0,1.0,0.0,50.0,apkseh53,neginfo,64.0,0.0,0.0,8.0,7.0,1.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,575.0,5.0,4.0
5ed68c770e41400dd0056c55,60.0,2,0.0,47.0,ill,0.0,0.0,,27.0,,88.0,75.0,86.0,74.0,196.0,100.0,47.0,25.0,28.75,0.2748806322619321,9.0,9.0,1.0,0.0,3.0,0.0,25.0,87.5,apkseh53,varinfo,34.0,1.0,0.0,8.0,5.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,506.5,7.0,9.0
6155f2c84aedcacc95fb188d,80.0,2,1.0,15.0,ill,67.0,269.0,,75.0,,134.0,128.0,162.0,320.0,477.0,275.0,15.0,40.0,77.0,0.7026605334833871,0.0,0.0,0.0,11.0,11.0,1.0,10.0,40.0,apkseh53,baseline,43.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,2.0,4.0,4.0,2.0,3.0,4.0,624.0,6.0,5.0
5f8d8af5eadf4d08f6c460f3,100.0,2,0.0,60.0,healthy,,,,,,0.0,0.0,103.0,1507.0,,,60.0,0.0,0.0,0.2314753600944282,10.0,10.0,1.0,0.0,0.0,0.0,0.5,49.5,apkseh53,posinfo,37.0,0.0,1.0,6.0,3.0,2.0,0.0,0.0,3.0,5.0,6.0,1.0,2.0,6.0,528.5,5.0,
5ee4d9a391a7f31d5c960868,80.0,2,0.0,55.0,healthy,179.0,417.0,,46.0,479.0,0.0,0.0,163.0,108.0,252.0,73.0,55.0,50.0,32.0,0.3186463772015256,10.0,10.0,1.0,0.0,11.0,0.0,10.0,40.0,apkseh53,fullinfo,25.0,1.0,0.0,7.0,2.0,1.5,1.0,0.0,0.0,2.0,5.0,2.0,0.0,3.0,684.0,8.0,9.0
5fcd709227fabfc6ca7a969e,100.0,2,1.0,21.0,healthy,,,,,58.0,71.0,64.0,87.0,129.0,275.0,291.0,21.0,21.0,36.75,0.7026605334833871,0.0,0.0,0.0,11.0,11.0,1.0,10.0,65.0,apkseh53,baseline,30.0,1.0,0.0,6.0,2.0,1.0,1.0,0.0,1.0,3.0,0.0,4.0,2.0,2.0,640.0,7.0,7.0
5ea057b821f4e400081b71a7,20.0,2,1.0,4.0,ill,,,,,,142.0,229.0,311.0,308.0,616.0,418.0,4.0,20.0,90.0,0.9723372946270248,0.0,1.006333,0.0,57.0,57.0,1.0,25.0,25.0,apkseh53,neginfo,65.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,3.0,8.0,0.0,0.0,2.0,2.0,734.0,6.0,5.0
605a7d4573560179e04af547,60.0,2,1.0,39.0,healthy,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,215.0,0.0,39.0,46.0,66.75,0.2748806322619321,9.0,9.0,1.0,0.0,3.0,0.0,33.0,17.0,apkseh53,varinfo,22.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,7.0,8.0,5.0,4.0,6.0,7.0,416.0,4.0,4.0
5c5a0ec41bf09700015ca517,100.0,2,0.0,30.0,healthy,132.0,87.0,,148.0,,824.0,232.0,2747.0,1007.0,1549.0,215.0,30.0,1.0,7.25,0.2748806322619321,9.0,9.0,1.0,0.0,3.0,0.0,0.0,50.0,apkseh53,varinfo,25.0,0.0,0.0,8.0,4.0,1.0,1.0,0.0,0.0,2.0,5.0,2.0,3.0,3.0,630.0,4.0,3.0
55b765befdf99b0416ce5382,60.0,2,1.0,22.0,healthy,0.0,0.0,,,,532.0,1063.0,1218.0,160.0,194.0,318.0,22.0,25.0,38.5,0.2314753600944282,10.0,10.0,1.0,0.0,0.0,0.0,0.0,50.0,apkseh53,posinfo,28.0,0.0,0.0,7.0,2.0,2.0,0.0,1.0,0.0,4.0,5.0,2.0,3.0,5.0,585.0,7.0,8.0
572f526c3c27e7000e0b8aaa,100.0,2,0.0,86.0,ill,0.0,0.0,,,,86.0,128.0,86.0,95.0,96.0,236.0,86.0,25.0,65.5,0.9723372946270248,0.0,1.006333,0.0,57.0,57.0,1.0,10.0,40.0,apkseh53,neginfo,32.0,0.0,0.0,8.0,3.0,2.0,0.0,0.0,2.0,5.0,6.0,7.0,2.0,5.0,450.0,8.0,7.0
5f6c9ef0bd5bc006f3586c40,100.0,2,1.0,33.0,ill,0.0,0.0,,0.0,60.0,590.0,376.0,151.0,325.0,653.0,753.0,33.0,85.0,79.25,0.7026605334833871,0.0,0.0,0.0,11.0,11.0,1.0,25.0,25.0,apkseh53,baseline,25.0,1.0,0.0,6.0,1.0,2.0,-1.0,0.0,0.0,8.0,6.0,1.0,1.0,4.0,559.0,3.0,6.0
60c20abfdccab926283d8f7f,40.0,2,1.0,4.0,healthy,0.0,0.0,,0.0,248.0,36.0,31.0,51.0,104.0,40.0,42.0,4.0,10.0,32.0,0.3186463772015256,10.0,10.0,1.0,0.0,11.0,0.0,10.0,40.0,apkseh53,fullinfo,26.0,1.0,0.0,7.0,2.0,1.0,1.0,0.0,3.0,5.0,7.0,5.0,2.0,5.0,829.0,6.0,5.0
5a8185b8aa46dd00016b80d6,60.0,2,0.0,59.0,healthy,0.0,0.0,,,,82.0,60.0,257.0,79.0,84.0,115.0,59.0,30.0,12.0,0.2314753600944282,10.0,10.0,1.0,0.0,0.0,0.0,0.0,50.0,apkseh53,posinfo,51.0,1.0,0.0,6.0,1.0,2.0,-1.0,0.0,1.0,1.0,1.0,1.0,5.0,3.0,494.0,6.0,6.0
615734b16b50355d4521f849,80.0,2,0.0,80.0,healthy,0.0,0.0,,0.0,0.0,436.0,337.0,110.0,375.0,246.0,186.0,80.0,36.0,40.25,0.7026605334833871,0.0,0.0,0.0,11.0,11.0,1.0,50.0,0.0,apkseh53,baseline,22.0,0.0,0.0,7.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,2.0,0.0,2.0,431.0,6.0,0.0
62e462cbd8f4226e10b998bd,40.0,2,0.0,22.0,healthy,,,,,,649.0,478.0,653.0,501.0,418.0,318.0,22.0,0.0,6.5,0.2748806322619321,9.0,9.0,1.0,0.0,3.0,0.0,35.0,15.0,apkseh53,varinfo,28.0,0.0,0.0,6.0,1.0,3.0,1.0,0.0,7.0,8.0,7.0,4.0,3.0,7.0,537.0,,
5e3891a0ffe78b000a8a4124,100.0,3,1.0,11.0,healthy,,,,,,610.0,725.0,337.0,107.0,551.0,107.0,11.0,43.0,43.75,0.365864494822518,5.0,5.0,1.0,0.0,25.0,0.0,0.0,50.0,apkseh53,varinfo,54.0,0.0,0.0,6.0,3.0,1.0,1.0,0.0,4.0,4.0,2.0,5.0,2.0,3.0,744.0,5.0,
5cc53cf3291607001757c712,20.0,3,0.0,19.0,ill,54.0,110.0,,45.0,,124.0,144.0,131.0,358.0,198.0,150.0,19.0,8.0,40.0,0.4476921253534467,6.0,6.0,1.0,0.0,52.0,0.0,17.0,33.0,apkseh53,neginfo,59.0,0.0,0.0,9.0,3.0,1.0,1.0,0.0,7.0,7.0,7.0,5.0,6.0,7.0,458.0,6.0,4.0
